,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
11,Kerala,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.315902273150108,0.224904628341083,0.431055452720253,"YLDs per 100,000",0.07919,0.048297,0.120518,"DALYs per 100,000",9.26583400547926,6.61631873243365,12.6747071533768
12,Maharashtra,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.096103410004372,0.0700198303358927,0.128846445149751,"YLDs per 100,000",0.024144,0.0149,0.035517,"DALYs per 100,000",2.83501738542516,2.04709449349746,3.80433049082489
13,Manipur,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.148681025724534,0.105973232836118,0.198218511945264,"YLDs per 100,000",0.036591,0.022511,0.05309,"DALYs per 100,000",4.47849856922198,3.17631410107753,5.99312277417996
14,Meghalaya,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.104147616791876,0.075409679327224,0.141782864956914,"YLDs per 100,000",0.025802,0.015111,0.038947,"DALYs per 100,000",3.20711689583872,2.29488781413156,4.41709043701445
15,Mizoram,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.315339281974201,0.222893932720244,0.432081300858936,"YLDs per 100,000",0.076266,0.046398,0.116533,"DALYs per 100,000",9.5980859383466,6.72648001572972,13.3304110746146
16,Nagaland,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0401946223137248,0.0266334660397876,0.0573927022669556,"YLDs per 100,000",0.010209,0.00575,0.016991,"DALYs per 100,000",1.21491660711538,0.793067529763773,1.75690264413873
17,Odisha,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0779899561374144,0.0536469176017971,0.111463895987745,"YLDs per 100,000",0.019329,0.011137,0.030798,"DALYs per 100,000",2.2551398215811,1.56172390082899,3.20207583066079
18,Punjab,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.112318379107597,0.0769635678333532,0.154957731360295,"YLDs per 100,000",0.027973,0.016901,0.041823,"DALYs per 100,000",3.33015022772738,2.30140450739342,4.60517570837311
19,Rajasthan,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.104078363014388,0.0736269433445425,0.143856186415792,"YLDs per 100,000",0.026277,0.015729,0.040671,"DALYs per 100,000",3.30217759194537,2.3441820806227,4.53201907293329
20,Sikkim,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.13791016241157,0.0934408508743888,0.187445197399766,"YLDs per 100,000",0.034536,0.020578,0.053688,"DALYs per 100,000",4.12141074306578,2.79070307078544,5.63397052534833
21,Tamil Nadu,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.129421405735186,0.0907801814704155,0.171579008562587,"YLDs per 100,000",0.032784,0.020087,0.050177,"DALYs per 100,000",3.89158270090283,2.72104321841365,5.17546901621216
22,Tripura,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.182865582155291,0.122303408193517,0.257036170458132,"YLDs per 100,000",0.045057,0.026232,0.071042,"DALYs per 100,000",5.51739453465898,3.70777521702575,7.83510382761327
23,West Bengal,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.125229605877524,0.0850348483797549,0.183864692521639,"YLDs per 100,000",0.031953,0.018202,0.052947,"DALYs per 100,000",3.85129548780617,2.65436653745077,5.64766816352656
24,Bihar,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0453605924646135,0.0314046235787698,0.0633554141577456,"YLDs per 100,000",0.011074,0.006485,0.017235,"DALYs per 100,000",1.28274865124385,0.880429253317056,1.82432683764675
25,Chhattisgarh,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0617498264141691,0.0457781390513139,0.0801194827080507,"YLDs per 100,000",0.01527,0.009796,0.022832,"DALYs per 100,000",1.89952871246206,1.39770029034302,2.4818168446373
26,Jharkhand,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0482682464531721,0.0317427987262983,0.0770323282129948,"YLDs per 100,000",0.011857,0.006525,0.021221,"DALYs per 100,000",1.34238207056439,0.883124367508672,2.16653199247608
27,Madhya Pradesh,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0827549614184329,0.0604293044905576,0.109953139183756,"YLDs per 100,000",0.020772,0.013135,0.030883,"DALYs per 100,000",2.56185439157797,1.87852705225623,3.40945168960819
28,Uttar Pradesh,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0915288689732885,0.0662093605915631,0.121313912754622,"YLDs per 100,000",0.02266,0.01426,0.033741,"DALYs per 100,000",2.84885502823133,2.08769207809675,3.76159447326147
29,Gujarat,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.107795591929115,0.0765819674553441,0.147329295488506,"YLDs per 100,000",0.027543,0.017365,0.041575,"DALYs per 100,000",3.39870320343416,2.42642684563943,4.56696838130055
30,Telangana,2019,All ages,Both,Occupational exposure to diesel engine exhaust,"Deaths per 100,000",0.0710868389310735,0.0469182728202932,0.106057258186443,"YLDs per 100,000",0.018118,0.010067,0.028926,"DALYs per 100,000",2.12264852144374,1.40368289416813,3.15923242898196
